ticket_id,night,ticket_type,price_cents,refunded
T-0236,2027-11-13,adult,1200,
T-0212,2027-11-13,adult,1200,
T-0310,2027-11-14,comp,0,
T-0121,2027-11-13,student,800,
T-0047,2027-11-12,adult,1200,
T-0058,2027-11-12,adult,1200,
T-0245,2027-11-13,senior,1000,
T-0267,2027-11-14,student,800,
T-0043,2027-11-12,adult,1200,
T-0303,2027-11-14,senior,1000,
T-0302,2027-11-14,senior,1000,
T-0021,2027-11-12,student,800,
T-0113,2027-11-12,comp,0,
T-0076,2027-11-12,adult,1200,
T-0098,2027-11-12,senior,1000,
T-0160,2027-11-13,student,800,
T-0084,2027-11-12,adult,1200,
T-0230,2027-11-13,adult,1200,yes
T-0097,2027-11-12,senior,1000,
T-0199,2027-11-13,adult,1200,
T-0280,2027-11-14,adult,1200,
T-0176,2027-11-13,adult,1200,
T-0265,2027-11-14,student,800,
T-0246,2027-11-13,senior,1000,
T-0071,2027-11-12,adult,1200,
T-0172,2027-11-13,adult,1200,
T-0218,2027-11-13,adult,1200,
T-0273,2027-11-14,adult,1200,
T-0202,2027-11-13,adult,1200,
T-0288,2027-11-14,adult,1200,
T-0233,2027-11-13,adult,1200,
T-0231,2027-11-13,adult,1200,
T-0254,2027-11-14,student,800,
T-0188,2027-11-13,adult,1200,
T-0093,2027-11-12,adult,1200,
T-0112,2027-11-12,comp,0,
T-0057,2027-11-12,adult,1200,
T-0290,2027-11-14,adult,1200,
T-0026,2027-11-12,student,800,
T-0154,2027-11-13,student,800,
T-0108,2027-11-12,comp,0,
T-0136,2027-11-13,student,800,
T-0156,2027-11-13,student,800,
T-0022,2027-11-12,student,800,
T-0192,2027-11-13,adult,1200,
T-0182,2027-11-13,adult,1200,
T-0242,2027-11-13,senior,1000,
T-0106,2027-11-12,comp,0,
T-0033,2027-11-12,student,800,
T-0181,2027-11-13,adult,1200,
T-0170,2027-11-13,adult,1200,
T-0276,2027-11-14,adult,1200,
T-0215,2027-11-13,adult,1200,
T-0193,2027-11-13,adult,1200,
T-0219,2027-11-13,adult,1200,
T-0224,2027-11-13,adult,1200,
T-0175,2027-11-13,adult,1200,
T-0221,2027-11-13,adult,1200,
T-0304,2027-11-14,senior,1000,
T-0011,2027-11-12,student,800,
T-0184,2027-11-13,adult,1200,yes
T-0289,2027-11-14,adult,1200,
T-0207,2027-11-13,adult,1200,yes
T-0036,2027-11-12,student,800,
T-0046,2027-11-12,adult,1200,
T-0083,2027-11-12,adult,1200,
T-0309,2027-11-14,comp,0,
T-0168,2027-11-13,student,800,
T-0004,2027-11-12,student,800,
T-0226,2027-11-13,adult,1200,
T-0008,2027-11-12,student,800,
T-0139,2027-11-13,student,800,
T-0072,2027-11-12,adult,1200,
T-0191,2027-11-13,adult,1200,
T-0275,2027-11-14,adult,1200,
T-0109,2027-11-12,comp,0,
T-0103,2027-11-12,senior,1000,
T-0187,2027-11-13,adult,1200,
T-0243,2027-11-13,senior,1000,
T-0259,2027-11-14,student,800,
T-0020,2027-11-12,student,800,
T-0070,2027-11-12,adult,1200,
T-0044,2027-11-12,adult,1200,
T-0262,2027-11-14,student,800,
T-0118,2027-11-13,student,800,
T-0203,2027-11-13,adult,1200,
T-0253,2027-11-14,student,800,
T-0012,2027-11-12,student,800,
T-0209,2027-11-13,adult,1200,
T-0048,2027-11-12,adult,1200,
T-0055,2027-11-12,adult,1200,
T-0075,2027-11-12,adult,1200,
T-0205,2027-11-13,adult,1200,
T-0155,2027-11-13,student,800,
T-0030,2027-11-12,student,800,
T-0223,2027-11-13,adult,1200,
T-0094,2027-11-12,senior,1000,
T-0014,2027-11-12,student,800,
T-0116,2027-11-13,student,800,
T-0163,2027-11-13,student,800,
T-0137,2027-11-13,student,800,
T-0028,2027-11-12,student,800,
T-0092,2027-11-12,adult,1200,
T-0074,2027-11-12,adult,1200,
T-0051,2027-11-12,adult,1200,
T-0064,2027-11-12,adult,1200,
T-0298,2027-11-14,senior,1000,
T-0065,2027-11-12,adult,1200,
T-0244,2027-11-13,senior,1000,
T-0185,2027-11-13,adult,1200,
T-0038,2027-11-12,student,800,
T-0111,2027-11-12,comp,0,
T-0145,2027-11-13,student,800,
T-0222,2027-11-13,adult,1200,
T-0017,2027-11-12,student,800,
T-0062,2027-11-12,adult,1200,
T-0031,2027-11-12,student,800,
T-0132,2027-11-13,student,800,
T-0308,2027-11-14,comp,0,
T-0164,2027-11-13,student,800,
T-0077,2027-11-12,adult,1200,
T-0080,2027-11-12,adult,1200,
T-0225,2027-11-13,adult,1200,
T-0010,2027-11-12,student,800,
T-0128,2027-11-13,student,800,
T-0005,2027-11-12,student,800,
T-0306,2027-11-14,comp,0,
T-0197,2027-11-13,adult,1200,
T-0142,2027-11-13,student,800,
T-0284,2027-11-14,adult,1200,
T-0146,2027-11-13,student,800,
T-0296,2027-11-14,senior,1000,
T-0198,2027-11-13,adult,1200,
T-0086,2027-11-12,adult,1200,
T-0119,2027-11-13,student,800,
T-0171,2027-11-13,adult,1200,
T-0196,2027-11-13,adult,1200,
